Collision ID;Date;Time;Borough;Street Name;Cross Street;Latitude;Longitude;Contributing Factor;Vehicle Type;Persons Injured;Persons Killed;Pedestrians Injured;Pedestrians Killed;Cyclists Injured;Cyclists Killed;Motorists Injured;Motorists Killed
4594563;01/01/2023;14:38:00;Brooklyn;Brooklyn Queens Expressway Ramp;;;;Driver Inattention/Distraction;Passenger Vehicle;1;0;0;0;0;0;1;0
4594599;01/01/2023;08:04:00;Queens;Nassau Expressway;;;;Following Too Closely;Passenger Vehicle;1;0;0;0;0;0;1;0
4594810;01/01/2023;18:05:00;;10 Avenue;11 Avenue;;;Unspecified;Passenger Vehicle;0;0;0;0;0;0;0;0
4594595;01/01/2023;23:45:00;Queens;Astoria Boulevard;37 Street;40769737;-7391244;Traffic Control Disregarded;Taxi;2;0;0;0;0;0;2;0
4594761;01/01/2023;04:50:00;Bronx;Castle Hill Avenue;East 177 Street;40830555;-7385072;Unspecified;Passenger Vehicle;0;0;0;0;0;0;0;0
4594332;01/01/2023;00:35:00;Brooklyn;Avenue T;;4060131;-7395472;Backing Unsafely;Passenger Vehicle;0;0;0;0;0;0;0;0
4594712;01/01/2023;05:45:00;Queens;Queens Boulevard;33 Street;40744667;-73931694;Passenger Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4595061;01/01/2023;01:00:00;Manhattan;West 116 Street;Morningside Avenue;40805595;-7395819;Failure to Yield Right-of-Way;Passenger Vehicle;0;0;0;0;0;0;0;0
4595151;01/01/2023;19:53:00;Bronx;East 222 Street;Ely Avenue;;;Other Vehicular;Taxi;1;0;0;0;0;0;1;0
4594362;01/01/2023;03:11:00;Bronx;Bruckner Expressway;;4084211;-7382557;Pavement Slippery;Passenger Vehicle;1;0;0;0;0;0;1;0
4594840;01/01/2023;18:49:00;Queens;Merrick Boulevard;;40674923;-7373694;Unspecified;Passenger Vehicle;1;0;1;0;0;0;0;0
4595042;01/01/2023;23:06:00;Queens;Beach 32 Street;Beach Channel Drive;4059872;-7376601;Unspecified;Passenger Vehicle;0;0;0;0;0;0;0;0
4594579;01/01/2023;01:45:00;Brooklyn;Pennsylvania Avenue;Flatlands Avenue;40652767;-738863;Alcohol Involvement;Passenger Vehicle;0;0;0;0;0;0;0;0
4594995;01/01/2023;17:55:00;Queens;Metropolitan Avenue;71 Road;4071032;-7384998;Driver Inattention/Distraction;Motorcycle;0;0;0;0;0;0;0;0
4594559;01/01/2023;17:35:00;Queens;Bayside Avenue;154 Street;40771587;-7381007;Failure to Yield Right-of-Way;Passenger Vehicle;1;0;1;0;0;0;0;0
4594477;01/01/2023;03:30:00;Brooklyn;East 101 Street;;4063672;-73887695;Pedestrian/Bicyclist/Other Pedestrian Error/Confusion;Passenger Vehicle;1;0;1;0;0;0;0;0
4594553;01/01/2023;10:30:00;Queens;Holly Avenue;Robinson Street;407518;-73817314;Unspecified;Passenger Vehicle;1;0;1;0;0;0;0;0
4594485;01/01/2023;06:40:00;Staten Island;Hylan Boulevard;Buel Avenue;4058524;-74093414;Failure to Yield Right-of-Way;Passenger Vehicle;1;0;0;0;0;0;1;0
4594573;01/01/2023;05:30:00;Brooklyn;Seigel Street;Bushwick Avenue;4070481;-7393932;Unspecified;Bicycle;1;0;0;0;1;0;0;0
4594435;01/01/2023;01:10:00;Brooklyn;Avenue V;West 12 Street;4059376;-7398274;Unsafe Speed;Passenger Vehicle;2;0;0;0;0;0;2;0
4594793;01/01/2023;00:04:00;Bronx;East 183 Street;;4085809;-73901924;Unspecified;Passenger Vehicle;0;0;0;0;0;0;0;0
4594867;01/01/2023;20:25:00;Queens;140 Street;14 Avenue;4078644;-73829155;Unsafe Speed;Passenger Vehicle;6;0;0;0;0;0;6;0
4595013;01/01/2023;04:20:00;Brooklyn;Saint Johns Place;Ralph Avenue;40670116;-7392248;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4594462;01/01/2023;06:45:00;Queens;Saultell Avenue;Vandoren Street;4073928;-7385053;Driver Inattention/Distraction;Passenger Vehicle;1;0;0;0;0;0;1;0
